Id,Category
1,5
2,4
3,4
4,8
5,4
6,1
7,4
8,9
9,2
10,1
11,8
12,9
13,7
14,3
15,8
16,2
17,10
18,3
19,10
20,9
21,3
22,10
23,9
24,3
25,10
26,10
27,4
28,9
29,7
30,5
31,4
32,6
33,6
34,1
35,5
36,8
37,8
38,3
39,4
40,2
41,8
42,1
43,1
44,1
45,8
46,3
47,1
48,10
49,6
50,3
51,5
52,7
53,7
54,8
55,1
56,4
57,1
58,3
59,1
60,2
61,3
62,10
63,5
64,4
65,7
66,7
67,1
68,9
69,3
70,10
71,7
72,8
73,10
74,9
75,6
76,3
77,1
78,4
79,9
80,1
81,4
82,1
83,9
84,10
85,7
86,6
87,3
88,1
89,8
90,2
91,3
92,1
93,4
94,5
95,3
96,1
97,5
98,7
99,10
100,3
101,2
102,2
103,7
104,5
105,8
106,8
107,6
108,6
109,8
110,1
111,8
112,5
113,4
114,9
115,8
116,1
117,4
118,3
119,8
120,2
121,1
122,4
123,7
124,3
125,1
126,1
127,8
128,7
129,5
130,6
131,10
132,2
133,3
134,7
135,9
136,5
137,2
138,7
139,9
140,10
141,9
142,4
143,2
144,5
145,4
146,6
147,6
148,3
149,2
150,2
151,9
152,2
153,2
154,6
155,2
156,1
157,3
158,10
159,4
160,7
161,2
162,1
163,1
164,2
165,3
166,4
167,10
168,5
169,3
170,7
171,3
172,8
173,4
174,4
175,2
176,1
177,7
178,4
179,7
180,10
181,10
182,5
183,8
184,3
185,8
186,10
187,10
188,6
189,2
190,6
191,5
192,1
193,4
194,3
195,1
196,4
197,10
198,2
199,8
200,6
201,9
202,3
203,7
204,4
205,4
206,9
207,5
208,3
209,1
210,7
211,4
212,1
213,4
214,1
215,8
216,7
217,6
218,9
219,6
220,3
221,8
222,9
223,6
224,3
225,3
226,7
227,4
228,9
229,2
230,7
231,4
232,1
233,8
234,4
235,4
236,10
237,7
238,8
239,5
240,7
241,2
242,9
243,8
244,4
245,2
246,2
247,8
248,1
249,9
250,10
251,8
252,4
253,2
254,2
255,6
256,9
257,9
258,1
259,5
260,10
261,5
262,7
263,7
264,3
265,2
266,5
267,1
268,8
269,4
270,2
271,6
272,3
273,6
274,5
275,9
276,8
277,7
278,2
279,5
280,9
281,3
282,9
283,3
284,9
285,3
286,2
287,8
288,7
289,5
290,7
291,8
292,7
293,3
294,8
295,4
296,4
297,7
298,4
299,9
300,8
301,1
302,2
303,9
304,4
305,6
306,4
307,3
308,9
309,4
310,10
311,7
312,8
313,9
314,7
315,2
316,8
317,8
318,3
319,8
320,5
321,3
322,1
323,6
324,8
325,4
326,3
327,6
328,1
329,6
330,8
331,4
332,3
333,5
334,10
335,8
336,5
337,1
338,2
339,3
340,9
341,10
342,10
